Year,MLB Total Home Runs,Total Games,HR/G
1901,455,1109,0.410
1902,356,1115,0.319
1903,335,1114,0.301
1904,331,1248,0.265
1905,338,1237,0.273
1906,263,1227,0.214
1907,245,1233,0.199
1908,267,1244,0.215
1909,259,1241,0.209
1910,361,1249,0.289
1911,514,1237,0.416
1912,443,1232,0.360
1913,669,1234,0.542
1914,415,1880,0.221
1915,385,1864,0.207
1916,383,1247,0.307
1917,335,1247,0.269
1918,235,1016,0.231
1919,447,1118,0.400
1920,630,1234,0.511
1921,937,1229,0.762
1922,1055,1238,0.852
1923,980,1233,0.795
1924,896,1231,0.728
1925,1169,1228,0.952
1926,863,1234,0.699
1927,922,1236,0.746
1928,1093,1231,0.888
1929,1349,1229,1.098
1930,1565,1234,1.268
1931,1069,1236,0.865
1932,1358,1233,1.101
1933,1067,1226,0.870
1934,1344,1223,1.099
1935,1325,1228,1.079
1936,1364,1238,1.102
1937,1430,1239,1.154
1938,1475,1223,1.206
1939,1445,1231,1.174
1940,1571,1236,1.271
1941,1331,1244,1.070
1942,1071,1224,0.875
1943,905,1238,0.731
1944,1034,1242,0.833
1945,1007,1230,0.819
1946,1215,1242,0.978
1947,1565,1243,1.259
1948,1555,1237,1.257
1949,1704,1240,1.374
1950,2073,1238,1.674
1951,1863,1239,1.504
1952,1701,1239,1.373
1953,2076,1240,1.674
1954,1937,1237,1.566
1955,2224,1234,1.802
1956,2294,1239,1.851
1957,2202,1235,1.783
1958,2240,1235,1.814
1959,2250,1238,1.817
1960,2128,1236,1.722
1961,2730,1430,1.909
1962,3001,1621,1.851
1963,2704,1619,1.670
1964,2762,1626,1.699
1965,2688,1623,1.656
1966,2743,1615,1.698
1967,2299,1620,1.419
1968,1995,1625,1.228
1969,3119,1946,1.603
1970,3429,1944,1.764
1971,2863,1938,1.477
1972,2534,1859,1.363
1973,3102,1943,1.597
1974,2649,1945,1.362
1975,2698,1934,1.395
1976,2235,1939,1.153
1977,3644,2103,1.733
1978,2956,2102,1.406
1979,3433,2099,1.636
1980,3087,2105,1.467
1981,1781,1394,1.278
1982,3379,2107,1.604
1983,3301,2109,1.565
1984,3258,2105,1.548
1985,3602,2103,1.713
1986,3813,2103,1.813
1987,4458,2105,2.118
1988,3180,2100,1.514
1989,3083,2106,1.464
1990,3317,2105,1.576
1991,3383,2104,1.608
1992,3038,2106,1.443
1993,4030,2269,1.776
1994,3306,1600,2.066
1995,4081,2017,2.023
1996,4962,2267,2.189
1997,4640,2266,2.048
1998,5064,2432,2.082
1999,5528,2428,2.277
2000,5693,2429,2.344
2001,5458,2429,2.247
2002,5059,2426,2.085
2003,5207,2430,2.143
2004,5451,2428,2.245
2005,5017,2431,2.064
2006,5386,2429,2.217
2007,4957,2431,2.039
2008,4878,2428,2.009
2009,5042,2430,2.075
2010,4613,2430,1.898
2011,4552,2429,1.874
2012,4934,2430,2.030
2013,4661,2431,1.917
2014,4186,2430,1.723
2015,4909,2429,2.021
2016,5610,2428,2.311
2017,6105,2430,2.512
2018,5585,2431,2.297
2019,6776,2429,2.790
2020,2304,898,2.566
